,_id,title,artist,song_id,analysis,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,k_cluster
1598,62301a250d44552013980f89,Shake! Shake! Shake!,Jackie Wilson,0KQolPzEP07EMfBug5LZCK,"[ 2.330e-01  5.240e-01  6.160e-01  1.240e-06  8.000e+00  2.190e-01
 -8.369e+00  1.000e+00  4.270e-02]",0.233,0.524,0.616,1.24e-06,8.0,0.219,-8.369,1.0,0.0427,0.0
1599,62301a260d44552013980f8c,Marlena,The 4 Seasons,6Pzbv8zwmq31mq998fBG5i,[ 0.529   0.705   0.848   0.017   8.      0.3    -5.863   1.      0.0435],0.529,0.705,0.848,0.017,8.0,0.3,-5.863,1.0,0.0435,0.0
1600,62301a270d44552013980f8f,Sometimes You Gotta Cry A Little,Bobby Bland,5q8TDEiPE5F1AXxektGA25,"[ 2.770e-01  5.150e-01  5.400e-01  1.140e-03  5.000e+00  5.900e-01
 -6.874e+00  1.000e+00  3.940e-02]",0.277,0.515,0.54,0.00114,5.0,0.59,-6.874,1.0,0.0394,0.0
1601,62301a290d44552013980f92,When A Boy Falls In Love,Mel Carter,3Rd2sk3FcMwndH2PCFgv7t,"[  0.786    0.581    0.422    0.       8.       0.0774 -12.825    1.
   0.0363]",0.786,0.581,0.422,0.0,8.0,0.0774,-12.825,1.0,0.0363,3.0
1602,62301a2a0d44552013980f95,My Block,The Four Pennies,6eESmZIEy6BWDBLgzidjtu,"[ 5.1300e-01  5.5100e-01  4.7700e-01  3.7000e-05  1.1000e+01  1.8500e-01
 -1.1067e+01  1.0000e+00  2.9700e-02]",0.513,0.551,0.477,3.7e-05,11.0,0.185,-11.067,1.0,0.0297,3.0
1603,62301a2c0d44552013980f98,Cottonfields,Ace Cannon,1Mm00HcfXLI6u1f0YfNiVH,"[  0.868    0.654    0.537    0.798    0.       0.182  -11.292    1.
   0.0545]",0.868,0.654,0.537,0.798,0.0,0.182,-11.292,1.0,0.0545,2.0
1604,62301a2d0d44552013980f9b,Twist It Up,Chubby Checker,4V9WukPJV3VmOuTXMdYzuc,"[ 3.99e-01  4.77e-01  8.40e-01  3.10e-06  8.00e+00  6.04e-01 -7.11e+00
  1.00e+00  1.18e-01]",0.399,0.477,0.84,3.1e-06,8.0,0.604,-7.11,1.0,0.118,0.0
1605,62301a2f0d44552013980f9e,The Monkey Time,Major Lance,4xEogH4ggdbZnGtJqnJm1Q,[ 0.579   0.798   0.676   0.      5.      0.114  -8.707   1.      0.0487],0.579,0.798,0.676,0.0,5.0,0.114,-8.707,1.0,0.0487,4.0
1606,62301a300d44552013980fa1,Brenda,The Cupids,54Zj49rnERcVrhYxqnSSm0,"[ 8.890e-01  3.020e-01  4.600e-01  2.870e-04  5.000e+00  3.770e-01
 -6.039e+00  1.000e+00  2.880e-02]",0.889,0.302,0.46,0.000287,5.0,0.377,-6.039,1.0,0.0288,4.0
1607,62301a320d44552013980fa5,I Will Love You,Richard Chamberlain,1DLjHi9qGLiuwtqngEBAFv,"[  0.973    0.426    0.118    0.0619  10.       0.127  -20.027    1.
   0.0291]",0.973,0.426,0.118,0.0619,10.0,0.127,-20.027,1.0,0.0291,3.0
1608,62301a340d44552013980fa9,From Me To You,Del Shannon,5MaO1Lu6KH8iLAeLqoztyo,[ 0.576   0.499   0.691   0.      0.      0.0825 -5.777   1.      0.0333],0.576,0.499,0.691,0.0,0.0,0.0825,-5.777,1.0,0.0333,4.0
1609,62301a360d44552013980fac,Make The World Go Away,Timi Yuro,588hXr5A0VURVbUehZzFHa,[ 0.693   0.315   0.36    0.      6.      0.136  -5.913   1.      0.0393],0.693,0.315,0.36,0.0,6.0,0.136,-5.913,1.0,0.0393,3.0
1610,62301a370d44552013980faf,Leave Me Alone,Baby Washington,0V0taT8CDOCW5sbjdiDc6r,"[  0.663    0.649    0.502    0.       9.       0.659  -11.501    1.
   0.0361]",0.663,0.649,0.502,0.0,9.0,0.659,-11.501,1.0,0.0361,3.0
1611,62301a390d44552013980fb2,How Many Teardrops,Lou Christie,3wVLgOY97gLsEGJzn0Uyxs,[ 0.586   0.562   0.697   0.      7.      0.0822 -8.859   1.      0.0903],0.586,0.562,0.697,0.0,7.0,0.0822,-8.859,1.0,0.0903,3.0
1612,62301a3a0d44552013980fb5,I'm Afraid To Go Home,Brian Hyland,539FVfBLcWAvqQLSiXu3yJ,"[  0.617    0.606    0.408    0.       4.       0.225  -12.26     0.
   0.0328]",0.617,0.606,0.408,0.0,4.0,0.225,-12.26,0.0,0.0328,6.0
1613,62301a3c0d44552013980fb9,Antony And Cleopatra Theme,Ferrante & Teicher,65Z9cpUKxinRbMux3r9TII,"[  0.755    0.307    0.304    0.141    0.       0.388  -12.878    1.
   0.0267]",0.755,0.307,0.304,0.141,0.0,0.388,-12.878,1.0,0.0267,4.0
1614,62301a3d0d44552013980fbc,Land Of 1000 Dances,Chris Kenner,5uydHeAg7MsIKSvS7GLw3a,"[  0.646    0.537    0.66     0.981    3.       0.161  -14.409    1.
   0.0304]",0.646,0.537,0.66,0.981,3.0,0.161,-14.409,1.0,0.0304,2.0
1615,62301a3e0d44552013980fbf,A Letter From Betty,Bobby Vee,514dJooiPZvtIHrpYSDgK6,"[  0.706    0.403    0.624    0.       5.       0.684  -10.352    1.
   0.0496]",0.706,0.403,0.624,0.0,5.0,0.684,-10.352,1.0,0.0496,4.0
1616,62301a3f0d44552013980fc2,Surfin' Hootenanny,Al Casey,2g5PFYiMnXFxT1zHavYP0D,"[  0.0971   0.48     0.871    0.893    9.       0.162  -10.23     1.
   0.0613]",0.0971,0.48,0.871,0.893,9.0,0.162,-10.23,1.0,0.0613,2.0
1617,62301a410d44552013980fc5,Can't Nobody Love You,Solomon Burke,1ovGm2RHnWlTmbbtIxd2f8,[ 0.784   0.614   0.357   0.      5.      0.117  -9.655   1.      0.0353],0.784,0.614,0.357,0.0,5.0,0.117,-9.655,1.0,0.0353,4.0
1618,62301a420d44552013980fc8,Love Me All The Way,Kim Weston,70Ku5YKVxSyueEFiLSWDVW,"[ 2.630e-01  2.640e-01  6.520e-01  1.080e-04  2.000e+00  2.840e-01
 -7.863e+00  1.000e+00  3.300e-02]",0.263,0.264,0.652,0.000108,2.0,0.284,-7.863,1.0,0.033,5.0
1619,62301a440d44552013980fcb,Dancin' Holiday,The Olympics,7GRRTPg2SXWJe3XckpuYAv,[ 0.742   0.69    0.744   0.      0.      0.251  -7.431   1.      0.0806],0.742,0.69,0.744,0.0,0.0,0.251,-7.431,1.0,0.0806,4.0
1620,62301a450d44552013980fce,Wait Til' My Bobby Gets Home,Darlene Love,3kl7f6V6BG31GCtHxusxXg,"[ 7.360e-01  6.190e-01  6.990e-01  3.030e-05  5.000e+00  3.620e-01
 -6.309e+00  1.000e+00  3.410e-02]",0.736,0.619,0.699,3.03e-05,5.0,0.362,-6.309,1.0,0.0341,4.0
1621,62301a460d44552013980fd1,Groovy Baby,Billy Abbott And The Jewels,1hxZhZlC2jCuADQW6i32zl,[ 0.709   0.508   0.405   0.      7.      0.474  -9.041   1.      0.0252],0.709,0.508,0.405,0.0,7.0,0.474,-9.041,1.0,0.0252,3.0
1622,62301a470d44552013980fd4,Mama Don't Allow,The Rooftop Singers,4biXHBMoLHA2dHvyxuIkcq,"[ 3.3800e-01  7.5700e-01  4.9000e-01  4.8100e-03  8.0000e+00  3.4200e-01
 -1.2198e+01  1.0000e+00  3.7300e-02]",0.338,0.757,0.49,0.00481,8.0,0.342,-12.198,1.0,0.0373,0.0
1623,62301a4a0d44552013980fd8,"Dance, Dance, Dance",Joey Dee,7MEBLvzOrWuvatfpZOqhYX,[ 0.0438  0.666   0.946   0.0338  4.      0.126  -4.652   0.      0.0377],0.0438,0.666,0.946,0.0338,4.0,0.126,-4.652,0.0,0.0377,7.0
1624,62301a4d0d44552013980fdd,This Is All I Ask,Tony Bennett,5P9guvAyGzysMhzMyADHOQ,"[ 9.380e-01  3.380e-01  2.550e-01  4.930e-04  3.000e+00  1.460e-01
 -1.093e+01  1.000e+00  3.640e-02]",0.938,0.338,0.255,0.000493,3.0,0.146,-10.93,1.0,0.0364,4.0
1625,62301a4f0d44552013980fe1,I Want To Stay Here,Steve & Eydie,7KBmbNZ6JMvuoL74Fw9PPW,[ 0.752   0.62    0.486   0.      0.      0.127  -9.109   1.      0.0278],0.752,0.62,0.486,0.0,0.0,0.127,-9.109,1.0,0.0278,4.0
