danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,
0.38,0.958,2,-4.283,1,0.107,0.0275,0.000122,0.848,0.663,104.468,audio_features,1aOYWQ93wuD51QArtupMa5,spotify:track:1aOYWQ93wuD51QArtupMa5,https://api.spotify.com/v1/tracks/1aOYWQ93wuD51QArtupMa5,https://api.spotify.com/v1/audio-analysis/1aOYWQ93wuD51QArtupMa5,202369,4,
0.593,0.377,0,-8.761,1,0.0253,0.6,0,0.0976,0.502,95.939,audio_features,5kI4eCXXzyuIUXjQra0Cxi,spotify:track:5kI4eCXXzyuIUXjQra0Cxi,https://api.spotify.com/v1/tracks/5kI4eCXXzyuIUXjQra0Cxi,https://api.spotify.com/v1/audio-analysis/5kI4eCXXzyuIUXjQra0Cxi,294521,4,
0.677,0.833,7,-4.997,1,0.0762,0.256,0.000158,0.142,0.631,90.997,audio_features,69WkwzVjQS4Dc8QQtpz0qM,spotify:track:69WkwzVjQS4Dc8QQtpz0qM,https://api.spotify.com/v1/tracks/69WkwzVjQS4Dc8QQtpz0qM,https://api.spotify.com/v1/audio-analysis/69WkwzVjQS4Dc8QQtpz0qM,210573,4,
0.516,0.593,0,-5.09,1,0.0252,0.055,0.0401,0.111,0.53,76.018,audio_features,6F980QL4axcqjJDMaV7Ew8,spotify:track:6F980QL4axcqjJDMaV7Ew8,https://api.spotify.com/v1/tracks/6F980QL4axcqjJDMaV7Ew8,https://api.spotify.com/v1/audio-analysis/6F980QL4axcqjJDMaV7Ew8,254840,4,
0.251,0.796,6,-5.103,1,0.0432,0.203,1.59e-06,0.961,0.729,173.376,audio_features,19ElaTRgt4paWlm4QzeU3s,spotify:track:19ElaTRgt4paWlm4QzeU3s,https://api.spotify.com/v1/tracks/19ElaTRgt4paWlm4QzeU3s,https://api.spotify.com/v1/audio-analysis/19ElaTRgt4paWlm4QzeU3s,238840,3,
0.415,0.11,1,-14.901,1,0.0388,0.951,0.00236,0.0962,0.234,81.876,audio_features,1C042FLYy7rP3MfnkOcnha,spotify:track:1C042FLYy7rP3MfnkOcnha,https://api.spotify.com/v1/tracks/1C042FLYy7rP3MfnkOcnha,https://api.spotify.com/v1/audio-analysis/1C042FLYy7rP3MfnkOcnha,240147,4,
0.596,0.488,4,-10.769,1,0.0274,0.9,2.7e-05,0.091,0.415,94.926,audio_features,6KJqZcs9XDgVck7Lg9QOTC,spotify:track:6KJqZcs9XDgVck7Lg9QOTC,https://api.spotify.com/v1/tracks/6KJqZcs9XDgVck7Lg9QOTC,https://api.spotify.com/v1/audio-analysis/6KJqZcs9XDgVck7Lg9QOTC,208907,4,
0.427,0.407,2,-9.665,1,0.0382,0.612,0.386,0.109,0.244,168.844,audio_features,1HYnjKqSSHh1tdl2Hi57zH,spotify:track:1HYnjKqSSHh1tdl2Hi57zH,https://api.spotify.com/v1/tracks/1HYnjKqSSHh1tdl2Hi57zH,https://api.spotify.com/v1/audio-analysis/1HYnjKqSSHh1tdl2Hi57zH,266467,4,
0.553,0.413,2,-10.037,1,0.0334,0.687,2.33e-06,0.0594,0.379,110.107,audio_features,0ZNU020wNYvgW84iljPkPP,spotify:track:0ZNU020wNYvgW84iljPkPP,https://api.spotify.com/v1/tracks/0ZNU020wNYvgW84iljPkPP,https://api.spotify.com/v1/audio-analysis/0ZNU020wNYvgW84iljPkPP,208978,4,
0.364,0.64,4,-5.757,1,0.0506,0.201,7.25e-05,0.12,0.386,93.507,audio_features,6JmSfynzr6E0QllQZNEXEb,spotify:track:6JmSfynzr6E0QllQZNEXEb,https://api.spotify.com/v1/tracks/6JmSfynzr6E0QllQZNEXEb,https://api.spotify.com/v1/audio-analysis/6JmSfynzr6E0QllQZNEXEb,219213,4,
